dhfvwjvwjhevfwedsjdvwwrgewgqwfqwtimeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1660212649467,10080,yesIpledge API,500,Internal Server Error,users 1-1,text,false,,871,318,7,7,https://drf.reposenergy.com/api/web/v1/utilities/ipledge_cert,10080,0,2351
1660212649751,12447,yesIpledge API,500,Internal Server Error,users 1-4,text,false,,879,318,6,6,https://drf.reposenergy.com/api/web/v1/utilities/ipledge_cert,12447,0,2176
1660212650140,14107,yesIpledge API,500,Internal Server Error,users 1-8,text,false,,871,318,5,5,https://drf.reposenergy.com/api/web/v1/utilities/ipledge_cert,14106,0,2154
1660212649947,29762,yesIpledge API,500,Internal Server Error,users 1-6,text,false,,871,318,4,4,https://drf.reposenergy.com/api/web/v1/utilities/ipledge_cert,29762,0,2146
1660212649558,31481,yesIpledge API,500,Internal Server Error,users 1-2,text,false,,873,318,3,3,https://drf.reposenergy.com/api/web/v1/utilities/ipledge_cert,31481,0,2278
1660212649732,33654,yesIpledge API,500,Internal Server Error,users 1-3,text,false,,875,318,2,2,https://drf.reposenergy.com/api/web/v1/utilities/ipledge_cert,33654,0,2044
1660212649873,33829,yesIpledge API,500,Internal Server Error,users 1-5,text,false,,873,318,1,1,https://drf.reposenergy.com/api/web/v1/utilities/ipledge_cert,33829,0,1940
1660212757914,126,yesIpledge,200,OK,users 1-1,text,true,,8434,270,1,1,https://partner.reposenergy.com/yesIpledge,42,0,13
1660212757914,42,yesIpledge-0,301,Moved Permanently,users 1-1,,true,,700,135,1,1,http://partner.reposenergy.com/yesIpledge,42,0,13
1660212757960,80,yesIpledge-1,200,OK,users 1-1,text,true,,7734,135,1,1,https://partner.reposenergy.com/yesIpledge,80,0,47
1660212758413,110,yesIpledge,200,OK,users 1-2,text,true,,8438,270,2,2,https://partner.reposenergy.com/yesIpledge,36,0,12
1660212758413,36,yesIpledge-0,301,Moved Permanently,users 1-2,,true,,696,135,2,2,http://partner.reposenergy.com/yesIpledge,36,0,12
1660212758450,73,yesIpledge-1,200,OK,users 1-2,text,true,,7742,135,2,2,https://partner.reposenergy.com/yesIpledge,72,0,36
